Species,RoostCode,MaxCountInAnyYear,County,Region,Country
Soprano pipistrelle,2120079,1120,Scottish Borders,Scotland,Scotland
Soprano pipistrelle,5100188,1097,Stirling,Scotland,Scotland
Soprano pipistrelle,5100403,1070,Cornwall,South West,England
Soprano pipistrelle,1120641,1067,Wiltshire,South West,England
Soprano pipistrelle,1120147,1067,Shropshire,West Midlands,England
Soprano pipistrelle,1121253,1050,Warwickshire,West Midlands,England
Soprano pipistrelle,5100678,1039,Argyll and Bute,Scotland,Scotland
Soprano pipistrelle,1120462,1032,West Yorkshire,Yorkshire and The Humber,England
Soprano pipistrelle,5100290,1029,Derbyshire,East Midlands,England
Soprano pipistrelle,4120010,1021,Fermanagh,Northern Ireland,Northern Ireland
Soprano pipistrelle,1121189,1020,Suffolk,East of England,England
Soprano pipistrelle,3120038,1015,Powys,Wales,Wales
Soprano pipistrelle,1121051,1012,Essex,East of England,England
Soprano pipistrelle,2120198,1001,Stirling,Scotland,Scotland
Soprano pipistrelle,3120049,958,Carmarthenshire,Wales,Wales
Soprano pipistrelle,3120027,949,Ceredigion,Wales,Wales
Soprano pipistrelle,3120028,942,Gwynedd,Wales,Wales
Soprano pipistrelle,5100236,942,Cumbria,North West,England
Soprano pipistrelle,1121137,940,Derby,East Midlands,England
Soprano pipistrelle,2120215,937,Dumfries and Galloway,Scotland,Scotland
Soprano pipistrelle,5100273,910,Lancashire,North West,England
Soprano pipistrelle,2120060,902,Scottish Borders,Scotland,Scotland
Soprano pipistrelle,2120086,897,Falkirk,Scotland,Scotland
Soprano pipistrelle,1120986,883,Cumbria,North West,England
Soprano pipistrelle,2120024,877,Midlothian,Scotland,Scotland
Soprano pipistrelle,3120085,877,Ceredigion,Wales,Wales
Soprano pipistrelle,5100800,868,Highland,Scotland,Scotland
Soprano pipistrelle,3120056,852,Carmarthenshire,Wales,Wales
Soprano pipistrelle,3120047,850,The Vale of Glamorgan,Wales,Wales
